vocab,vocab-meaning,reading,speech-type,context-jp,context-en,context-jp2,context-en2,context-jp3,context-en3,meaning-exp,reading-exp,kanji,kanji-name,audio-a,audio-g,id,level
??,Adult,???,Noun,???????????????,This is the adult price.,??????????,There are only three adults.,??????????????,The adults went to an izakaya.,"This kanji combines big and person. If you're a child, how do you think of adults? You just think of them like big people. That's why this combination of kanji means adult.","""I'm an adult, which means I have adult responsibilities. Oh, Toner (???)? I need some of that for my terrible printer..."" ... now feel so sad you have such a terrible printer that runs out of toner every day. Ohhhh Toner!","?, ?","Big, Person",,,45,level1 vocab
??,"Alone, One Person",???,Noun,??????????????,I went to karaoke alone.,???????????,One of them is American.,??????????????????????????,My daughter did the errands by herself for the first time today.,"When there's one person, what are they? Well, they're either just going to be simply one person or alone.","The reading for this vocab doesn't follow any rules you learned previously. It's an exception, which means you have to learn the reading separately too. Spend a few moments trying to remember this word, look away for 10 seconds, and then try to recall its reading. Could you do it? Try again, this time in thirty seconds. Did you do it again? Okay, go ahead and move on. You may know it now, though you'll need to recall it again in the next 5-10 minutes if you want to remember it for good. Alternatively, if you know the reading for the vocab word ?? (in the same level as this word), you can know that it uses the same reading!","?, ?","One, Person",,,46,level1 vocab
??,"Artificial, Man Made, Human Made",????,Noun and ? adjective,????????????????????????,Is your brain really artificial?,????????????,This river is man-made.,????????????????,I put artificial turf in the garden.,"A person of industry makes a lot of things by hand, so everything they make is artificial, and also means it's man made.",This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.,"?, ?","Person, Construction",,,47,level1 vocab
???,"Big, Large",????,? adjective,?????????????,This hat is too big.,???????????????,Can I get those two big peaches?,?????????????????????????,My baby is about as big as a calf.,"This is the adjective form of big. It has the same meaning, though it is a word for describing. Words that end with ? are often adjectives, remember that for future words as well. So, as long as you know the meaning of this kanji, you can transfer that to the meaning of this word. It's the adjective big / large.","What do you do when you see something really, really big? You say ?? because you can't believe your eyes. Imagine something really large and say ?? out loud to help seal the memory in that brain of yours.",?,Big,,,48,level1 vocab
?,"Down, Below, Under, Beneath",??,Noun,????????????????,What’s under the desk?,????????????,Please come down.,???Tofugu????????????????,I live on the floor below the Tofugu office.,"When a vocab is a single kanji with no okurigana (that's hiragana attached to the kanji) it tends to steal the meaning of the kanji it comes from. So, this one is below or down.","When a vocab is a single kanji and is alone it tends to use the kun'yomi reading. You learned the on'yomi reading for this kanji, so now it's time to learn the kun'yomi reading to learn this vocabulary word. What's below you? What's below your foot? Oh no. The worst thing possible: It's ??.",?,Below,,,49,level1 vocab
?,Eight,??,Numeral,???????????????????????????,Students will study page eight at home today.,???????????????,I put eight candies in my purse.,????????????,Eight o’clock? Are you sure it’s eight o’clock?,When a vocab is a single kanji it usually steals its meaning from its kanji as well. Same goes for this vocab word. It means eight.,"When a vocab is a single kanji and all alone like this, it's usually going to use the kun'yomi. But, because this is a number (exception) it uses the on'yomi instead, meaning you already know the reading from when you learned the kanji!",?,Eight,,,50,level1 vocab
??,Eight Things,???,Numeral,?????????????????????,There are eight potatoes in a bag.,???????????,There are only eight of them.,??????????????????????,What has eight faces and six arms?,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for eight plus ?. So, this one is eight things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). So what eight things do you have? You have eight yachts (???). Go ahead and count them. They're beautiful. Also, be sure not to be confused by this particular reading mnemonic. It includes the ?, even though the ? is outside the reading you need to learn (just makes things easier for you overall). Since you can see the ? outside, it shouldn't be too difficult for you.",?,Eight,,,51,level1 vocab
???,Entrance,????,Noun,???????????????,I will wait for you at the entrance.,???????????,There are three entrances.,????????????????,Johnny Depp is at the entrance.,A mouth that you enter is an entrance.,"Because there's some okurigana (hiragana attached to the kanji) attached, you can bet that ?? will be a kun'yomi reading. This reading comes from the word ???. If you know that word already, this one will be easy. If not, then you'll have to think that the entrance you're going in is eerie (??). Then, because this word is really two separate words put together to form one word, you can guess that ? also uses the kun'yomi reading, though the ? in ?? changes to ? due to something called rendaku. Just remember that it's ?? and not ?? here.","?, ?","Enter, Mouth",,,52,level1 vocab
???,"Great, Considerable, Important, Big Deal",????,Adjective,????????????,It’s not a big deal.,???????????,She is such a great woman.,????????????????????????,Being the president of McDonald’s would be a big deal.,"?? is the past tense form of ?? (which means ""to do""). So, essentially this word is ""did big."" What is something that ""did big""? It's something that's great or considerable.","The reading for the ? part is actually the on'yomi reading you learned when learning its kanji. So, as long as you remember that (and remember to use that reading), you can read this word as well. ??? = ????.",?,Big,,,53,level1 vocab
?,Mountain,??,Noun,???????????????????,I'll climb a mountain with my friends.,????????????????????,This is the world's biggest man-made mountain.,?????????????????????????,"At 8 am, let’s meet naked on Bald Mountain.",A vocab made of a single kanji all alone with no okurigana (hiragana attached to the kanji) usually has the same exact meaning as the kanji it's made from. So by that you know that this vocab's meaning is mountain.,"When a vocab is a single kanji all alone with no okurigana (hiragana attached to the kanji) it's usually going to be the kun'yomi reading, which you didn't learn when you learned the kanji. To remember this word's reading we'll use a mnemonic. What are you doing going up into the mountains? You're hunting for yams (??). Go ahead, imagine yourself doing just that, climbing up the mountain (it's hard work!) and then digging in the ground with your hands, then pulling up that sweet, delicious yam! Mmm!",?,Mountain,,,54,level1 vocab
?,Mouth,??,Noun,??????????????,There is some sauce on your mouth.,?????????????,Please put this in your mouth.,??????????????,I haven’t been able to close my mouth since yesterday.,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to have the same meaning as the kanji it came from. From that, you know this word's meaning is mouth.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji) it's generally going to use the kun'yomi reading, which you did not learn from learning the kanji. To remember this word, you should use a mnemonic. With your mouth, make a ""kuchi kuchi kou"" (??) sound. Go ahead, make it. Focus on your mouth and try to imagine each shape it makes while zooming in on it. You're talking to a baby, which is why you're making all these ridiculous noises. Also, instead of ""coo"" at the end, you're saying ""kou,"" because that's the reading of the kanji (??). ??????!??????! Sounds like something from Arrested Development, actually.",?,Mouth,,,55,level1 vocab
???,"Mt Fuji, Mount Fuji, Mt. Fuji",????,Proper noun,???????????????????????,I want to arrive at Mt. Fuji by around 11 a.m.,????????????????????????????????????????????,"There are always three adult French people, two small Americans, and one Canadian on Mt. Fuji.",?????????????????????,Mt. Fuji was covered in white bird poop.,"Just look at this word. What do you think it means? That's right - it's a name (Fuji) plus the kanji for mountain. Put those together, and you have Mount Fuji. In English the ""Mount(ain)"" part comes first. In Japanese, it comes at the end, sort of like the name ender ??, ???, and so on. You can add ? to the end of any mountain's name too, not just Mount Fuji.","Normally ?? would be in kanji, but I wanted you to see this kanji use in action since it's more useful than just being used on Mount Fuji. This is treated like a jukugo word (combo kanji word). In the case of jukugo, usually the on'yomi reading is used, meaning you just have to remember the on'yomi reading of ?. Luckily, you learned this when you were learning the kanji, so you should already know it!",?,Mountain,,,56,level1 vocab
?,Nine,"???, ?",Numeral,????????????????????,I study for about nine hours every day.,??????????????,Please open the page 9.,??????????????????,I used to have nine mynah birds.,"When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it often has the same meaning as the kanji it's based off of. Same goes for the word ?, as well. It has the same meaning as its kanji counterpart.","When a vocab is made up of a single kanji with no okurigana (hiragana attached to the kanji), it usually uses the kun'yomi reading. Numbers are the exception, as you might already know. When they're alone with no okurigana they're the on'yomi reading, which you should already know from learning the kanji that makes up this word.",?,Nine,,,57,level1 vocab
??,Nine Things,????,Numeral,?????????????????????????????,There are nine questions that require a dictionary on today’s test.,????????????????????,Is it true that a cat has nine lives?,????????????,I made nine donuts.,"This word follows the ""number of things"" pattern where there's a kanji for a number plus ? on the end. Whenever you see this, you know the word means ""____ things."" Knowing that, as long as you know the kanji (which you do) you can figure out what number of things it is. For this one, it's the kanji for nine plus ?. So, this one is nine things.","Since all of the ""number of things"" words all follow the same pattern (number plus ?), you really just have to remember the part before the ? (and then remember that the ? is in all of these). All of the readings are the kun'yomi reading, which means we'll have to use a mnemonic to remember them (you know the on'yomi reading of the kanji portion). What thing do you have nine of? The nine things that you have are nine coconuts (???). Imagine yourself juggling nine coconuts in the air. Try counting them while you're doing this, arriving at nine things.",?,Nine,,,58,level1 vocab
